Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged,27065,53671,53671,0,-1,-1,-1,0.374,0.399,0,0.03,0.49,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
017bba0f995e6d9921253e5a59521435-9symml_gr_2pin_w6.shuffled,2604,36991,36991,0,-1,-1,-1,0.027,0.083,0,0.04,0.17,0,2,85,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01843a0195183ca14246a88bf7bad482-smulo016,2945,8734,8734,0,-1,-1,-1,0.115,0.119,0,0.01,0.14,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0191a0bf3412ed407ba669f8d69081ee-mrpp_6x6#18_20,10841,77712,77712,0,-1,-1,-1,0.235,0.276,0,0.05,0.47,0,1302,38,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01966a0fc52b2200a13f5f835275a919-SGI_30_70_27_50_3-dir.shuffled-as.sat03-169,810,68270,68270,0,-1,-1,-1,1.822,1.866,0,0.06,1.97,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01979ca4966cc363ec3caeebd8d3fc31-connm-ue-csp-sat-n600-d0.04-s1979668539.used-as.sat04-981,564,7101,7101,0,-1,-1,-1,0.357,0.362,0,0.01,0.38,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
019dc69c96737c3d62696c9acf3edf1b-T107.2.0,3113734,10746462,10746462,0,-1,-1,-1,-1773006550.537,-1773006542.987,0,7.12,1014.94,0,85,29,834.828,832.872,0.000,0.000,0,7,0,0,0,0
01a74343f618546e9ad2a60849140317-crafted_n12_d6_c3_num26,42048,8569840,8569840,0,-1,-1,-1,803.558,807.434,0,3.42,822.67,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01af042093bf36119811b6e658e7a231-ecgrid6x155_shuffled,1861,7442,7442,0,-1,-1,-1,0.053,0.058,0,0.01,0.11,0,0,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01bc4d75a43a8293132d0be627341207-E04F19,9044,295211,295211,0,-1,-1,-1,1.085,1.633,0,0.23,2.70,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01bd0865ab694bc71d80b7d285d5777d-shuffling-2-s1480152728-of-bench-sat04-434.used-as.sat04-711,505536,1518952,1518952,0,-1,-1,-1,-1773006538.286,-1773006535.064,0,2.13,1002.07,0,2,273,968.403,963.747,0.000,0.000,0,131,0,0,0,0
01d142c43f3ce9a8c5ef7a1ecdbb6cba-urquhart3_25bis.shuffled,99,264,264,0,-1,-1,-1,0.000,0.001,0,0.00,0.01,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
