Filename,original_vars,original_constraints,clausal_constraints,alk_constraints,alk_general,alk_amo,alk_vars_eliminated,alk_seconds,total_seconds,total_extracted_constraints,ple_real_time,extraction_real_time,cache_hits_verified,cache_hits_unverified,cache_misses,verification_time,testing_verification_time,sat_verification_time,bdd_verification_time,testing_successes,testing_failures,sat_successes,sat_failures,bdd_successes,bdd_failures
00ec2992d59f85705eb8e1f4f1e01b3d-sgen4-sat-280-8,280,672,672,0,-1,-1,-1,0.007,0.022,0,0.00,0.04,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00f2eb377986e7decbc863931680a3b2-rand_net70-40-10.shuffled,5600,16661,16661,0,-1,-1,-1,2.229,2.239,0,0.03,2.27,0,0,424,2.062,2.038,0.000,0.000,0,45,0,0,0,0
00f4aca773e5675f35263dcd46b15bde-vmpc_28.shuffled-as.sat05-1957,784,108080,108080,0,-1,-1,-1,0.055,0.148,0,0.05,0.32,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
00f969737ba4338bd233cd3ed249bd55-3col20_5_6.shuffled,40,140,140,0,-1,-1,-1,0.000,0.015,0,0.00,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0101d013a916d903e8e618d7db1edbb3-phnf-size10-exclusive-equilarge_l3.used-as.sat04-895.sat05-4189.reshuffled-07,16489,2248381,2248381,0,-1,-1,-1,102.497,107.773,0,1.10,112.76,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0107f34364dfff8ab062193b2c71b4de-sp4-33-bin-nons-flat-noid,786,5062,5062,0,-1,-1,-1,0.067,0.069,0,0.02,0.08,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
010c9d7a6e9e6cac63f110915d9dd56e-3col60_5_9.shuffled,120,480,480,0,-1,-1,-1,0.000,0.020,0,0.00,0.02,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0
01135f7a79d555bd0406f00fac22cbe2-SC21_Timetable_C_140_E_29_Cl_10_S_15,88839,399352,340324,268,256,12,29268,30.675,30.939,268,0.23,31.67,259,4156,41,21.380,21.076,0.212,0.000,9,9,9,0,0,0
01209700b6b45ca5fda7fbcb17765db1-slp-synthesis-aes-top27,82745,247818,247818,0,-1,-1,-1,64.329,64.495,0,0.15,64.95,0,15319,49,60.717,60.523,0.000,0.000,0,38,0,0,0,0
01225987412b6f8423cc68be93385f6e-eqspwtrc16bparrc16,5702,17008,17008,0,-1,-1,-1,0.153,0.162,0,0.01,0.19,0,0,924,0.009,0.007,0.000,0.000,0,2,0,0,0,0
