Filename,exit_code,real_time,solve_real_time,SAT_verified
037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489,10,0.85,0.85,0,0.85
0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014,20,0.31,0.28,0,0.31
039b45f4a3979c9176b115bb8e88342f-genurq8Sat.shuffled-as.sat03-1514,10,0.04,0.04,0,0.04
03a1a18521814692f56a8ecbea0031d4-ablmulub2x32o-sc2016,20,188.96,188.95,0,188.96
03a1ada3e778fcec8a7ee0c9e685d4be-connm-ue-csp-sat-n1200-d-0.02-s1528687777.used-as.sat04-953,0,5000.14,5000.13,0,5000.14
03a43a7ea55217f53542ed3f029963af-satch2ways16w,0,5000.02,5000.02,0,5000.02
03b75ba4f3a1bdcc58c89e6846eecaab-x2_128.shuffled-as.sat03-1598,0,5000.02,5000.01,0,5000.02
03ba29d5cb38d345357a74a7b5ccd759-20-100-lambda100-49_sat,10,33.39,33.38,0,33.39
03bb7baaa45980753a0e7050ae44755d-atco_enc3_opt1_03_53,10,969.56,969.41,0,969.56
03c44a93577c98119dc498053888937a-ctl_4291_567_1_unsat_pre,20,1253.49,1253.48,0,1253.49
03c5fef8cb8957ecf687548c8d504d10-SGI_30_80_21_90_2-log.shuffled-as.sat03-198,0,5000.04,5000.02,0,5000.04
03c8a9ffce923a8cb3452f18d371eacf-rook-55-0-1,20,3555.61,3555.59,0,3555.61
03cb9868146a1c420ba8e3b1b08865b8-3col300_5_2.shuffled,10,16.96,16.95,0,16.96
03d1d6df36fdec5be7b60e6f0cd382f7-3col280_5_8.shuffled,10,2.04,2.04,0,2.04
03d8064f3be30daecf2ffe4c54361e61-edges-025-4-7932777-1-00,0,5000.04,5000.03,0,5000.04
03d93f5c0378205e17260e16e463ac67-TimetableCNFEncoding_5_UNKNOWN-sc2018,0,5000.27,5000.17,0,5000.27
03de316ba1e90305471a3b8620cb9cd7-satsgi-n23himBHm26-p0-q248,10,0.01,0.01,0,0.01
03f25e67e52baf9fb1e782026d46c8a8-rope_0003.shuffled,20,0.03,0.03,0,0.03
03fb9af7b390fe9e0739150ca3410cf0-4g_5color_166_100_02,10,71.91,71.37,0,71.91
04071576275e4113b60c21601b364345-marg2x5.shuffled-as.sat03-1443,20,0.04,0.04,0,0.04
04121f3fbe313b7046c9f54ac1e26c75-mod3block_2vars_9gates_u2_autoenc,0,5000.02,5000.00,0,5000.02
0412f6f3174dfc4c27ad0b61280cd739-SGI_30_40_30_20_2-dir.shuffled-as.sat05-442,20,280.56,280.55,0,280.56
04157f716c1e9606c6a530657bf8f957-Kakuro-easy-125-ext.xml.hg_4,0,5000.25,5000.01,0,5000.25
